"","k","V","minN","POrig.Method","delta","N.orig","true.effect.dist","n","phat.mn","phatBias.mn","Cover.mn","Porig.mn","Reject.mn","I2.mn","k.pretty","muN.pretty","N.orig.pretty","delta.pretty","V.pretty","dist.pretty","N.tot","N.tot.pretty"
"26",5,0.01,300,"pm",0,200,"normal",2048,0.1326171875,0.0576171875,1,0.523444532284192,0.0400390625,45.9678407325782,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.01","Normal",1500,"N =  1500"
"27",5,0.01,300,"pm",0,200,"t.scaled",1024,0.07578125,0.02578125,1,0.531777001134633,0.0634765625,55.8749814189728,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.01","t",1500,"N =  1500"
"28",5,0.01,300,"pm",0,200,"unif2",1024,0.152734375,0.102734375,1,0.517114288460834,0.0458984375,45.5536688558936,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.01","Uniform mixture",1500,"N =  1500"
"29",5,0.01,300,"reml",0,200,"expo",1488,0.109274193548387,0.0436827956989247,1,0.540780160520931,0.0369623655913979,46.0435547213977,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.01","Exponential",1500,"N =  1500"
"30",5,0.01,300,"reml",0,200,"normal",2048,0.1326171875,0.0576171875,1,0.523314202369811,0.04052734375,45.9058869987143,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.01","Normal",1500,"N =  1500"
"31",5,0.01,300,"reml",0,200,"t.scaled",1024,0.07578125,0.02578125,1,0.531607795256743,0.0634765625,55.8040529775834,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.01","t",1500,"N =  1500"
"32",5,0.01,300,"reml",0,200,"unif2",1024,0.152734375,0.102734375,1,0.517007045099479,0.0439453125,45.5054812302084,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.01","Uniform mixture",1500,"N =  1500"
"33",5,0.25,50,"pm",0,200,"expo",1024,0.059375,0.009375,1,0.503776620365074,0.0888671875,62.9494739851857,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.25","Exponential",250,"N =  250"
"34",5,0.25,50,"pm",0,200,"normal",1904,0.0834033613445378,0.0065126050420168,1,0.480878037988388,0.109243697478992,64.9383961839372,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.25","Normal",250,"N =  250"
"35",5,0.25,50,"pm",0,200,"t.scaled",1024,0.05625,0.00625,1,0.477320227313617,0.134765625,75.7562679037542,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.25","t",250,"N =  250"
"36",5,0.25,50,"pm",0,200,"unif2",1024,0.0935546875,0.0435546875,1,0.418254856404751,0.091796875,68.1000462425795,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.25","Uniform mixture",250,"N =  250"
"37",5,0.25,50,"reml",0,200,"expo",1024,0.059375,0.009375,1,0.501492173129456,0.0908203125,62.4820433499658,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.25","Exponential",250,"N =  250"
"38",5,0.25,50,"reml",0,200,"normal",1904,0.0834033613445378,0.0065126050420168,1,0.479487158081738,0.11186974789916,64.6234374481325,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.25","Normal",250,"N =  250"
"39",5,0.25,50,"reml",0,200,"t.scaled",1024,0.05625,0.00625,1,0.475910403561383,0.13671875,75.5376728522372,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.25","t",250,"N =  250"
"40",5,0.25,50,"reml",0,200,"unif2",1024,0.0935546875,0.0435546875,1,0.417083368351853,0.09765625,67.8824589908441,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.25","Uniform mixture",250,"N =  250"
"41",5,0.25,300,"pm",0,200,"expo",1024,0.0515625,0.0015625,1,0.475667641320592,0.1142578125,86.0682456027517,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.25","Exponential",1500,"N =  1500"
"42",5,0.25,300,"pm",0,200,"normal",2048,0.075,-3.20599323557793e-18,1,0.458771284877264,0.12353515625,90.2183254500466,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.25","Normal",1500,"N =  1500"
"43",5,0.25,300,"pm",0,200,"t.scaled",1024,0.05390625,0.00390625,1,0.486407734353239,0.1328125,93.7690153344079,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.25","t",1500,"N =  1500"
