"k","V","minN","POrig.Method","delta","N.orig","true.effect.dist","n","Reject.mn","EstMean.mn","EstVar.mn","I2.mn","N.tot","k.pretty","N.tot.pretty","N.orig.pretty","delta.pretty","V.pretty","dist.pretty"
5,0.002,50,"pm",0.5,30,"t.scaled",6144,0.131510416666667,0.502592102491321,0.0600631830208608,34.2380497696158,250,"No. replications: 5","N =  250","Norig =  30","delta =  0.5","V =  0.002","t"
5,0.002,50,"pm",0.5,30,"unif2",6144,0.1376953125,0.502126022978689,0.057434344860695,33.6430889947201,250,"No. replications: 5","N =  250","Norig =  30","delta =  0.5","V =  0.002","Uniform mixture"
5,0.002,50,"pm",0.5,50,"expo",6144,0.182942708333333,0.499048488448969,0.0576385214549099,33.4323897857456,250,"No. replications: 5","N =  250","Norig =  50","delta =  0.5","V =  0.002","Exponential"
5,0.002,50,"pm",0.5,50,"normal",5648,0.189093484419263,0.49904556227007,0.0549021032159457,32.5892916141586,250,"No. replications: 5","N =  250","Norig =  50","delta =  0.5","V =  0.002","Normal"
5,0.002,50,"pm",0.5,50,"t.scaled",6144,0.191731770833333,0.499580170760312,0.0613130310921707,34.3253068858776,250,"No. replications: 5","N =  250","Norig =  50","delta =  0.5","V =  0.002","t"
5,0.002,50,"pm",0.5,50,"unif2",6144,0.189127604166667,0.492257795006765,0.0579465885933556,33.5421345129784,250,"No. replications: 5","N =  250","Norig =  50","delta =  0.5","V =  0.002","Uniform mixture"
5,0.002,50,"pm",0.5,200,"expo",5088,0.352201257861635,0.496555387591445,0.0578193270540364,33.4824671204695,250,"No. replications: 5","N =  250","Norig =  200","delta =  0.5","V =  0.002","Exponential"
5,0.002,50,"pm",0.5,200,"normal",5696,0.340063202247191,0.498121378274345,0.0573382640150517,33.2402787658113,250,"No. replications: 5","N =  250","Norig =  200","delta =  0.5","V =  0.002","Normal"
5,0.002,50,"pm",0.5,200,"t.scaled",5824,0.34426510989011,0.494327566424508,0.0634797327583724,34.6869908894623,250,"No. replications: 5","N =  250","Norig =  200","delta =  0.5","V =  0.002","t"
5,0.002,50,"pm",0.5,200,"unif2",5712,0.34733893557423,0.498498057657572,0.0559751716908003,32.8364879122851,250,"No. replications: 5","N =  250","Norig =  200","delta =  0.5","V =  0.002","Uniform mixture"
5,0.002,50,"pm",1,30,"expo",6144,0.493489583333333,0.497961528287542,0.0579316537466687,33.5475712393726,250,"No. replications: 5","N =  250","Norig =  30","delta =  1","V =  0.002","Exponential"
5,0.002,50,"pm",1,30,"normal",6144,0.512369791666667,0.497712789674813,0.0552068132503822,32.5644531939008,250,"No. replications: 5","N =  250","Norig =  30","delta =  1","V =  0.002","Normal"
5,0.002,50,"pm",1,30,"t.scaled",6144,0.4921875,0.494235051092396,0.0594078275831989,33.9973964335666,250,"No. replications: 5","N =  250","Norig =  30","delta =  1","V =  0.002","t"
5,0.002,50,"pm",1,30,"unif2",6144,0.5048828125,0.494004851080965,0.0561284160523592,32.9632255726705,250,"No. replications: 5","N =  250","Norig =  30","delta =  1","V =  0.002","Uniform mixture"
5,0.002,50,"pm",1,50,"expo",6144,0.666015625,0.501060488868395,0.0571366433662345,33.0378356378094,250,"No. replications: 5","N =  250","Norig =  50","delta =  1","V =  0.002","Exponential"
5,0.002,50,"pm",1,50,"normal",6144,0.675130208333333,0.49732167618815,0.0562109602043037,32.9417081207146,250,"No. replications: 5","N =  250","Norig =  50","delta =  1","V =  0.002","Normal"
5,0.002,50,"pm",1,50,"t.scaled",6144,0.65234375,0.49743073842998,0.0628712362474067,34.7290069271779,250,"No. replications: 5","N =  250","Norig =  50","delta =  1","V =  0.002","t"
5,0.002,50,"pm",1,50,"unif2",6144,0.6806640625,0.501863061087749,0.0559595309592041,32.7441319425177,250,"No. replications: 5","N =  250","Norig =  50","delta =  1","V =  0.002","Uniform mixture"
5,0.002,50,"pm",1,200,"expo",5552,0.909942363112392,0.50030080734232,0.0562940093534508,32.8143712339235,250,"No. replications: 5","N =  250","Norig =  200","delta =  1","V =  0.002","Exponential"
5,0.002,50,"pm",1,200,"normal",4672,0.90089897260274,0.498526055977006,0.0575307812646432,33.4561958878381,250,"No. replications: 5","N =  250","Norig =  200","delta =  1","V =  0.002","Normal"
5,0.002,50,"pm",1,200,"t.scaled",5072,0.887026813880126,0.500784699417691,0.0622456281448103,34.8879785502963,250,"No. replications: 5","N =  250","Norig =  200","delta =  1","V =  0.002","t"
5,0.002,50,"pm",1,200,"unif2",5472,0.902960526315789,0.500645818641452,0.056856909788431,33.3322909772661,250,"No. replications: 5","N =  250","Norig =  200","delta =  1","V =  0.002","Uniform mixture"
5,0.002,50,"reml",0,30,"expo",6144,0.025390625,0.500359578731442,0.0554601271726328,32.6298166647306,250,"No. replications: 5","N =  250","Norig =  30","delta =  0","V =  0.002","Exponential"
5,0.002,50,"reml",0,30,"normal",6144,0.0234375,0.495339846464021,0.0555781687549603,32.5752974641071,250,"No. replications: 5","N =  250","Norig =  30","delta =  0","V =  0.002","Normal"
5,0.002,50,"reml",0,30,"t.scaled",6144,0.029296875,0.497723757964485,0.0604492623866799,33.5078466030367,250,"No. replications: 5","N =  250","Norig =  30","delta =  0","V =  0.002","t"
